customer_id,age,customer_tenure_months,avg_watch_hours_per_week,avg_session_length_min,days_since_last_login,number_of_devices,number_of_support_tickets,monthly_price,discount_percent,subscription_plan,device_type_primary,payment_method,auto_renew_enabled,uses_offline_downloads,shared_account,watched_trending_content,engagement_level,satisfaction_rating,churn_score_hidden,churned
SV501417,45,12.4,7.8,40.9,28.9,3,2.0,19.99,0,Premium,Tablet,Gift Card,True,True,True,True,Medium,Low,16.19,Yes
SV501674,31,23.4,9.5,20.8,7.6,5,4.0,19.99,10,Standard,Mobile,Credit Card,True,False,False,True,Medium,Medium,8.67,Yes
SV503590,33,11.5,0.6,62.3,10.6,2,0.0,8.99,50,Basic,SmartTV,Credit Card,True,True,False,True,Medium,High,-26.23,No
SV501703,16,9.2,17.3,52.4,10.3,5,0.0,15.99,10,Basic,Laptop,Credit Card,False,False,True,False,High,High,10.36,Yes
SV502540,39,7.8,15.7,58.0,5.5,3,1.0,12.99,0,Basic,Mobile,Credit Card,False,False,False,False,High,High,-16.44,No
SV500205,33,9.6,2.0,60.4,5.3,2,0.0,19.99,50,Basic,SmartTV,Gift Card,True,True,False,True,Low,High,8.3,Yes
SV503887,29,15.0,1.4,28.6,23.9,1,1.0,19.99,0,Family,SmartTV,Credit Card,True,False,False,True,Medium,High,-5.72,No
SV503248,44,10.8,2.2,34.9,5.8,5,0.0,12.99,0,Basic,Laptop,Credit Card,True,True,False,False,Low,High,-15.03,No
SV502131,60,24.9,18.5,50.6,0.5,5,3.0,8.99,20,Premium,Mobile,Debit Card,True,False,False,False,High,Medium,-10.8,No
SV501255,27,72.0,4.9,82.6,2.2,5,1.0,19.99,50,Premium,Mobile,PayPal,False,True,False,True,Medium,Medium,4.53,No
SV502299,31,15.7,2.8,74.9,2.4,4,1.0,8.99,0,Standard,Mobile,Debit Card,True,False,False,False,Low,,-5.98,No
SV501226,42,15.4,2.0,45.5,5.7,5,0.0,12.99,20,Family,Mobile,Credit Card,True,True,False,True,Low,High,0.55,No
SV503918,36,21.0,4.4,62.6,14.9,5,2.0,19.99,0,Premium,Mobile,Debit Card,True,False,False,False,Medium,High,1.21,No
SV502464,26,32.8,3.3,92.7,52.5,4,0.0,15.99,0,Basic,SmartTV,Credit Card,True,False,True,False,Low,High,15.57,Yes
SV502383,28,0.5,13.6,44.1,6.4,2,1.0,12.99,10,Standard,SmartTV,PayPal,True,False,True,True,High,High,-21.39,No
SV500149,36,15.9,1.9,26.5,11.9,1,0.0,19.99,0,Basic,SmartTV,PayPal,True,False,True,False,Low,High,26.97,Yes
SV500869,33,15.2,7.4,43.3,0.2,2,2.0,15.99,20,Standard,SmartTV,Debit Card,False,True,False,True,Medium,High,-6.23,No
SV501978,51,24.0,2.0,69.3,6.4,1,2.0,15.99,0,Basic,SmartTV,Credit Card,True,True,False,False,Medium,Medium,5.28,Yes
SV502456,45,11.5,9.0,43.5,11.4,5,2.0,8.99,20,Basic,SmartTV,PayPal,True,False,False,False,High,High,-31.27,No
SV503865,22,3.9,6.2,45.6,23.9,1,3.0,8.99,0,Standard,SmartTV,Credit Card,False,True,False,False,Medium,Low,64.9,Yes
SV502212,48,6.2,17.9,63.3,0.7,4,0.0,12.99,0,Standard,SmartTV,Credit Card,True,True,False,True,High,High,-27.6,No
SV501006,41,17.8,6.2,54.1,14.1,2,0.0,19.99,10,Basic,Mobile,Debit Card,True,True,False,False,Medium,High,-7.76,No
SV503047,40,14.1,5.7,23.4,8.7,4,2.0,12.99,0,Premium,Laptop,Gift Card,True,False,False,True,Medium,High,3.0,No
SV500705,23,20.7,22.0,70.8,3.1,3,0.0,15.99,0,Premium,Mobile,Debit Card,True,True,False,False,High,High,-18.96,No
SV503143,37,26.9,12.5,41.3,7.8,2,2.0,12.99,20,Basic,Tablet,PayPal,True,True,False,True,Medium,Medium,-13.15,No
SV503596,29,1.1,3.0,27.5,11.7,1,2.0,8.99,30,Basic,Mobile,Credit Card,True,False,False,True,Medium,High,-6.39,No
SV501987,26,8.7,12.6,32.2,10.9,1,1.0,15.99,0,Standard,Laptop,Credit Card,True,True,False,False,High,High,-18.29,No
SV500179,37,6.0,2.9,58.0,14.9,2,1.0,19.99,0,Family,Tablet,PayPal,True,False,True,False,Low,Medium,12.05,Yes
SV500109,16,33.9,5.8,75.4,1.9,1,2.0,19.99,0,Basic,Laptop,Debit Card,True,False,False,True,Low,Medium,-3.89,No
SV503078,20,20.9,4.2,35.8,3.2,1,0.0,8.99,20,Premium,SmartTV,PayPal,True,False,False,True,Medium,High,-28.13,No
SV501055,50,29.8,2.7,50.8,14.9,5,1.0,19.99,20,Standard,SmartTV,PayPal,True,False,False,False,Low,High,20.57,Yes
SV503952,33,49.2,3.7,3.0,1.0,5,3.0,12.99,30,Family,Tablet,PayPal,True,False,False,True,Low,High,-6.18,No
SV500314,43,43.7,16.1,49.8,4.0,1,1.0,15.99,0,Standard,Mobile,Credit Card,True,False,True,True,High,High,-28.51,No
SV501822,47,2.0,0.6,65.9,8.6,3,1.0,15.99,0,Family,SmartTV,Credit Card,True,True,False,True,Low,High,40.09,Yes
SV500567,27,11.5,5.7,58.1,2.8,1,0.0,19.99,30,Standard,Mobile,Credit Card,True,False,True,False,Medium,High,-5.47,No
SV500879,34,22.9,0.6,60.6,12.0,1,3.0,8.99,0,Standard,SmartTV,Credit Card,True,False,True,True,Low,High,-9.8,No
SV502230,39,17.5,3.2,56.0,0.7,2,1.0,15.99,0,Basic,Mobile,Credit Card,True,True,False,False,Low,High,14.0,Yes
SV501411,59,16.6,6.3,106.4,4.0,5,1.0,15.99,20,Premium,SmartTV,PayPal,True,False,False,True,Medium,High,-3.17,No
SV503224,37,5.2,10.5,47.9,3.2,4,0.0,15.99,0,Family,Mobile,Credit Card,True,False,False,True,Medium,High,-19.94,No
SV503936,47,3.1,7.7,45.5,9.2,1,3.0,12.99,0,Standard,SmartTV,PayPal,True,False,False,True,Medium,High,-3.64,No
SV503249,36,18.0,3.8,61.6,23.9,3,0.0,12.99,0,Premium,Mobile,Debit Card,True,False,True,False,Medium,High,-12.85,No
SV500929,35,14.9,14.2,31.4,1.4,1,1.0,15.99,20,Premium,Laptop,PayPal,False,True,False,True,High,High,-29.91,No
SV502578,48,30.0,9.6,72.8,4.9,4,2.0,15.99,0,Standard,Laptop,PayPal,True,True,False,True,Medium,Medium,17.06,Yes
SV503379,31,6.6,7.5,42.8,17.6,5,2.0,19.99,10,Standard,Laptop,PayPal,True,True,False,True,High,High,-14.3,No
SV502292,47,20.2,4.2,13.7,7.0,5,1.0,12.99,30,Premium,Mobile,Debit Card,True,True,True,False,Low,Medium,30.35,Yes
SV501502,49,8.1,12.5,33.4,2.4,4,1.0,19.99,0,Standard,SmartTV,PayPal,True,True,False,True,High,High,-4.59,No
SV503782,24,4.5,9.8,45.8,8.5,3,4.0,8.99,30,Family,SmartTV,PayPal,True,False,False,True,Medium,Medium,-8.75,No
SV500605,40,5.1,7.2,52.2,0.5,4,2.0,12.99,0,Standard,SmartTV,Credit Card,True,False,False,False,Medium,Medium,5.43,Yes
SV501988,25,19.0,6.5,55.1,2.1,2,2.0,15.99,0,Basic,Mobile,Credit Card,False,False,False,True,Low,Medium,8.74,Yes
SV500014,39,13.1,5.9,60.0,12.1,4,0.0,12.99,10,Basic,Mobile,Debit Card,True,True,False,True,Medium,High,5.9,Yes
SV501261,35,1.9,14.8,48.9,3.2,3,0.0,12.99,10,Basic,Mobile,Debit Card,False,False,False,True,High,High,-23.75,No
SV503238,44,16.8,2.6,60.0,4.0,2,1.0,15.99,50,Premium,Mobile,Credit Card,True,False,True,True,Low,High,-3.42,No
SV503318,46,16.2,2.7,65.0,10.1,3,0.0,8.99,0,Family,Mobile,Credit Card,True,False,False,True,Low,High,-26.4,No
SV500008,34,40.2,17.0,51.9,8.1,4,3.0,12.99,10,Family,Laptop,Debit Card,True,False,True,False,High,Medium,3.67,No
SV500889,16,9.1,14.4,21.0,3.2,1,1.0,8.99,20,Standard,Mobile,PayPal,True,True,False,False,Medium,High,-18.36,No
SV503148,54,12.2,9.2,40.0,19.1,4,2.0,15.99,10,Standard,Laptop,Credit Card,True,False,False,True,Medium,Medium,-4.0,No
SV503551,21,7.8,1.7,65.6,11.6,3,1.0,8.99,0,Standard,SmartTV,Gift Card,False,True,False,False,Low,High,14.19,Yes
SV501444,32,11.0,3.2,51.8,9.2,1,0.0,12.99,10,Standard,Laptop,Credit Card,True,False,True,False,Medium,High,-3.4,No
SV500393,39,48.1,10.6,60.5,0.4,2,1.0,8.99,0,Standard,Mobile,Debit Card,True,True,False,True,High,High,-34.24,No
SV501582,40,19.3,1.9,65.9,2.8,4,1.0,8.99,20,Standard,Mobile,PayPal,True,True,False,False,Low,High,-5.23,No
SV502858,30,40.5,8.8,67.4,4.8,5,0.0,8.99,20,Standard,SmartTV,Credit Card,True,False,False,True,Medium,High,-13.96,No
SV500538,16,11.8,3.0,37.8,0.5,1,1.0,8.99,0,Premium,Laptop,Credit Card,True,False,False,True,Low,High,-14.67,No
SV501487,19,17.6,6.6,75.3,3.9,4,1.0,15.99,20,Premium,SmartTV,Debit Card,False,False,False,False,Medium,High,-10.39,No
SV500807,20,18.6,2.7,65.9,20.0,4,0.0,8.99,0,Family,SmartTV,PayPal,True,False,False,True,Medium,High,-43.45,No
SV503414,22,0.5,10.3,57.1,2.2,4,0.0,15.99,30,Standard,Mobile,Gift Card,True,False,True,True,Medium,High,1.98,No
SV500798,45,20.0,9.7,66.1,22.8,1,0.0,15.99,0,Basic,Mobile,Debit Card,True,True,True,False,Medium,High,8.39,Yes
SV503539,25,20.6,12.7,64.5,3.7,4,1.0,8.99,0,Premium,Mobile,Credit Card,False,False,False,True,Medium,High,-20.66,No
SV501815,29,14.5,2.6,3.0,5.8,1,0.0,19.99,0,Premium,Mobile,Credit Card,True,True,False,False,Low,High,14.05,Yes
SV502329,45,23.8,9.6,62.2,0.8,5,,8.99,0,Standard,Mobile,Credit Card,True,True,False,False,Medium,High,-6.63,No
SV502647,28,44.1,15.1,66.2,17.4,4,2.0,12.99,0,Basic,Mobile,PayPal,True,True,False,False,High,Medium,-3.96,No
SV501424,36,11.5,2.8,34.8,15.1,2,1.0,15.99,10,Standard,SmartTV,Credit Card,True,False,True,False,Medium,Medium,1.63,No
SV502359,51,7.0,4.3,47.4,1.0,4,0.0,19.99,0,Basic,Mobile,Credit Card,True,False,False,False,Low,High,-3.16,No
SV503321,31,11.0,5.4,51.6,2.2,4,2.0,8.99,0,Premium,Tablet,Credit Card,False,False,False,False,Low,Low,4.64,No
SV500787,32,9.2,2.4,27.8,12.2,1,0.0,8.99,0,Basic,Mobile,PayPal,True,True,False,False,Low,High,-5.72,No
SV501992,37,19.2,20.5,42.4,19.8,5,2.0,15.99,0,Premium,Mobile,Credit Card,True,True,False,True,High,High,-14.83,No
SV501116,46,39.7,3.2,47.3,1.3,5,1.0,12.99,0,Basic,Mobile,Debit Card,True,False,False,False,Medium,High,-11.65,No
SV501320,26,11.6,7.8,40.2,13.3,5,0.0,8.99,0,Standard,SmartTV,Credit Card,False,False,True,False,High,High,-22.83,No
SV503656,31,12.7,2.0,67.1,8.5,1,0.0,8.99,30,Basic,Tablet,Gift Card,True,False,True,False,Low,High,19.33,Yes
SV501552,28,250.9,5.7,32.4,5.7,2,0.0,8.99,50,Basic,SmartTV,Credit Card,True,False,False,False,Medium,High,-3.45,No
SV500032,28,17.2,6.0,,2.0,3,1.0,15.99,20,Standard,Tablet,PayPal,False,False,False,True,Medium,High,-19.97,No
SV500463,16,33.6,7.6,68.1,13.2,3,0.0,15.99,20,Basic,SmartTV,Credit Card,True,False,False,True,High,High,-24.11,No
SV502515,28,6.5,3.3,57.1,0.3,5,1.0,19.99,20,Premium,SmartTV,Credit Card,True,False,False,True,Low,High,3.21,No
SV502295,44,57.5,4.9,61.9,29.7,3,2.0,12.99,10,Family,Mobile,Gift Card,False,False,True,False,Medium,High,16.91,Yes
SV500166,44,22.6,10.2,23.1,3.1,2,1.0,15.99,0,Standard,Tablet,PayPal,True,True,False,True,Medium,Medium,7.15,Yes
SV502862,25,21.8,9.3,49.2,1.7,2,0.0,12.99,20,Basic,Mobile,Credit Card,True,True,False,True,Medium,Medium,-19.44,No
SV500414,31,17.1,20.1,47.2,34.7,2,,12.99,0,Family,SmartTV,Credit Card,False,True,False,False,High,Medium,26.8,Yes
SV500033,25,7.3,7.0,106.5,12.4,3,1.0,19.99,30,Standard,Laptop,Debit Card,True,False,False,False,Medium,High,7.57,Yes
SV500184,39,1.2,5.7,50.2,3.5,4,1.0,19.99,0,Standard,Mobile,Credit Card,True,False,False,False,Medium,High,-2.48,No
SV503022,38,12.6,11.2,46.8,13.6,1,0.0,8.99,20,Standard,Mobile,PayPal,True,False,False,False,High,High,-32.79,No
SV503240,46,21.0,8.5,28.1,8.3,3,3.0,15.99,10,Basic,Mobile,Debit Card,True,True,False,False,Medium,Medium,-3.61,No
SV503301,57,7.1,0.2,11.2,16.7,5,2.0,12.99,20,Standard,Tablet,Credit Card,True,False,True,False,Low,Medium,20.13,Yes
SV501952,16,32.1,4.6,82.6,9.7,4,2.0,19.99,10,Premium,Tablet,Debit Card,True,False,False,False,High,Low,2.91,No
SV503749,48,36.4,5.2,39.1,0.2,3,2.0,15.99,0,Standard,Mobile,Credit Card,True,False,False,True,Medium,Medium,-3.78,No
SV501621,35,6.5,13.2,37.0,0.8,3,1.0,8.99,0,Basic,Mobile,Debit Card,False,True,False,True,Medium,High,-8.51,No
SV501242,53,14.5,23.7,45.7,1.0,4,2.0,12.99,0,Family,Mobile,Credit Card,True,False,False,True,High,High,-24.24,No
SV503549,40,13.3,10.6,5.6,1.0,5,0.0,12.99,30,Standard,Mobile,PayPal,True,False,True,False,Medium,High,2.51,No
SV500721,46,8.4,7.7,25.7,7.1,2,0.0,19.99,0,Premium,SmartTV,Debit Card,True,False,True,True,Medium,High,3.51,No
SV501174,33,34.8,6.8,44.7,1.6,5,2.0,15.99,0,Standard,Mobile,PayPal,False,True,False,False,High,Medium,0.95,No
SV500670,43,52.9,13.6,55.6,3.0,3,1.0,12.99,0,Standard,SmartTV,Debit Card,True,True,False,False,High,High,-18.31,No
SV503331,34,8.7,15.0,28.8,0.9,4,1.0,12.99,0,Family,Mobile,Credit Card,True,True,False,False,High,High,-12.62,No
SV501746,28,9.8,2.8,54.7,23.1,1,4.0,8.99,0,Basic,Mobile,PayPal,True,True,False,True,Low,Low,31.65,Yes
SV502424,35,28.0,1.3,48.3,8.0,5,2.0,19.99,0,Standard,Laptop,Credit Card,True,False,False,False,Medium,Medium,15.32,Yes
SV501556,26,29.7,3.1,74.9,12.6,3,0.0,12.99,0,Standard,Mobile,Gift Card,True,False,False,True,Low,High,10.46,Yes
SV502866,40,0.6,18.0,58.9,6.5,2,0.0,8.99,0,Basic,Tablet,Debit Card,True,False,True,True,High,High,-15.45,No
SV503536,44,18.2,13.7,38.7,7.3,1,0.0,15.99,0,Standard,SmartTV,Credit Card,True,False,False,True,Medium,High,-3.07,No
SV502584,39,1.8,5.3,19.9,9.6,4,0.0,19.99,0,Basic,Laptop,PayPal,True,False,True,False,Low,High,44.37,Yes
SV501744,41,5.6,1.0,17.2,3.6,3,1.0,12.99,0,Family,Mobile,PayPal,True,True,False,True,Low,Medium,3.24,No
SV503867,52,14.0,3.5,,6.1,2,1.0,15.99,20,Family,SmartTV,Gift Card,True,False,True,False,Low,High,16.5,Yes
SV500718,30,28.8,4.8,67.0,8.1,1,2.0,8.99,0,Premium,Tablet,PayPal,True,True,True,False,Medium,High,-8.29,No
SV501370,17,46.8,2.9,67.6,25.1,2,0.0,15.99,0,Standard,Mobile,Credit Card,True,True,True,True,Low,High,1.41,No
SV502979,59,14.3,2.4,66.5,7.4,5,0.0,15.99,30,Basic,Mobile,PayPal,False,True,False,True,Medium,Medium,8.85,Yes
SV503930,22,31.8,3.0,8.6,3.1,3,2.0,8.99,0,Standard,Mobile,Debit Card,True,True,False,True,Medium,High,-20.62,No
SV502020,34,16.4,6.0,64.9,42.2,3,0.0,15.99,10,Basic,Tablet,PayPal,True,False,False,False,Low,High,14.71,Yes
SV502610,16,10.0,3.3,49.5,8.6,3,2.0,15.99,0,Basic,Laptop,PayPal,False,True,True,True,Low,High,19.28,Yes
SV501626,16,13.9,2.8,45.8,0.3,3,1.0,12.99,0,Premium,SmartTV,Credit Card,True,False,True,False,Medium,Medium,14.47,Yes
SV502425,46,9.8,5.2,55.2,16.8,2,1.0,12.99,0,Standard,SmartTV,PayPal,True,False,False,True,Medium,,5.11,Yes
SV503053,33,10.4,5.2,57.2,18.0,2,2.0,15.99,30,Premium,Tablet,PayPal,True,False,False,True,Medium,Medium,6.68,Yes
SV503007,46,13.8,13.2,78.3,0.5,3,0.0,15.99,0,Standard,Mobile,PayPal,True,False,True,True,Medium,High,2.16,No
SV500599,16,17.8,9.0,61.3,2.8,4,1.0,15.99,0,Premium,Mobile,Gift Card,False,False,False,True,Medium,High,-11.82,No
SV501747,37,28.7,10.6,28.4,0.6,5,0.0,12.99,10,Standard,Mobile,Debit Card,True,False,False,False,High,High,-11.44,No
SV502351,41,3.5,23.9,21.5,1.1,5,2.0,15.99,0,Premium,SmartTV,Credit Card,False,False,True,True,High,High,-0.51,No
SV501429,42,10.6,2.6,51.6,4.3,4,1.0,12.99,0,Basic,Mobile,PayPal,False,False,True,False,Medium,High,8.63,Yes
SV501114,35,14.9,8.9,62.1,36.3,5,3.0,12.99,10,Family,Mobile,PayPal,True,True,True,False,Medium,High,-21.04,No
SV500642,57,27.6,2.0,53.6,0.9,3,1.0,8.99,0,Family,Mobile,Credit Card,True,False,False,True,Low,High,-16.23,No
SV500402,43,22.8,2.2,40.8,3.8,4,2.0,8.99,0,Family,Mobile,PayPal,False,True,False,False,Low,High,-5.51,No
SV500490,46,11.5,6.5,76.8,11.7,3,3.0,12.99,20,Standard,Mobile,Credit Card,False,False,False,True,Medium,Low,22.25,Yes
SV502499,48,20.3,25.8,39.5,1.0,4,2.0,8.99,20,Basic,Laptop,Debit Card,True,True,True,True,High,High,2.01,No
SV501003,41,6.3,3.5,61.7,15.7,3,0.0,12.99,0,Standard,Laptop,Credit Card,True,True,False,False,Medium,,14.62,Yes
SV502114,39,17.8,4.7,55.0,1.3,5,,8.99,0,Basic,Mobile,Debit Card,True,True,False,True,Low,High,0.69,No
SV503484,44,10.3,10.5,82.8,7.7,1,3.0,15.99,20,Family,Mobile,Credit Card,True,True,False,False,Medium,High,-5.05,No
SV501878,50,3.7,3.8,79.0,5.1,1,0.0,12.99,20,Basic,Mobile,PayPal,True,False,False,False,Low,High,25.36,Yes
SV502473,40,11.4,6.7,42.6,15.8,3,2.0,8.99,20,Family,SmartTV,Debit Card,True,True,False,True,Medium,Medium,-25.69,No
SV500270,26,3.5,8.2,35.4,13.6,4,2.0,19.99,0,Standard,Tablet,Debit Card,False,False,False,False,Medium,Medium,54.36,Yes
SV502341,32,4.0,3.0,33.1,11.7,1,3.0,19.99,20,Standard,Mobile,Credit Card,True,False,False,True,Low,High,25.61,Yes
SV503058,27,25.8,2.0,47.6,15.1,2,3.0,12.99,0,Standard,SmartTV,Credit Card,False,False,True,True,Medium,Medium,11.11,Yes
SV503198,45,7.4,11.6,45.6,4.3,5,0.0,8.99,0,Premium,Mobile,Debit Card,True,True,False,True,Medium,High,-3.19,No
SV501044,26,53.8,9.0,33.4,4.2,2,1.0,12.99,0,Standard,Mobile,PayPal,False,True,False,False,Medium,High,-3.87,No
SV503497,46,38.6,6.8,67.8,1.8,4,0.0,8.99,20,Basic,Mobile,Credit Card,True,False,True,False,Low,High,17.29,Yes
SV502793,28,18.9,5.0,55.3,5.0,3,0.0,8.99,30,Premium,Laptop,Gift Card,True,False,False,True,Medium,High,-13.04,No
SV502392,16,11.3,1.4,47.3,12.6,2,2.0,12.99,10,Basic,SmartTV,PayPal,True,True,False,True,Low,Low,15.21,Yes
SV503470,17,15.3,1.5,61.0,7.5,3,0.0,8.99,0,Family,SmartTV,Credit Card,True,False,True,True,Low,High,-10.7,No
SV503837,32,3.1,184.1,53.0,24.8,5,1.0,19.99,20,Basic,Mobile,Credit Card,False,True,False,False,Low,High,44.12,Yes
SV502358,47,13.4,14.5,35.3,12.3,2,0.0,19.99,20,Standard,SmartTV,Debit Card,True,False,True,True,High,Medium,-4.5,No
SV502334,29,295.3,8.3,39.4,10.3,3,1.0,12.99,10,Standard,Mobile,Debit Card,True,False,False,False,Medium,High,-8.37,No
SV500017,23,8.1,21.8,68.1,6.3,1,1.0,12.99,10,Premium,Laptop,Credit Card,True,True,False,False,High,High,-25.42,No
SV503654,41,19.0,5.2,65.5,0.9,4,0.0,12.99,30,Standard,SmartTV,Credit Card,True,False,False,True,Medium,High,-7.71,No
SV501210,44,28.1,19.8,64.1,19.3,5,1.0,12.99,0,Standard,SmartTV,Debit Card,False,True,False,False,High,Medium,16.23,Yes
SV502117,35,8.5,10.9,17.6,0.0,4,1.0,19.99,0,Standard,SmartTV,Debit Card,False,False,True,True,Medium,High,-10.46,No
SV500229,31,20.2,7.4,46.4,9.0,1,0.0,15.99,30,Standard,Laptop,Credit Card,False,True,False,True,Medium,High,-25.21,No
SV501117,30,15.2,9.6,57.0,17.1,1,1.0,8.99,10,Standard,Mobile,Debit Card,True,True,False,False,Medium,High,-4.44,No
SV501292,30,3.0,8.6,69.3,6.2,2,1.0,12.99,10,Premium,SmartTV,Credit Card,True,False,False,False,Medium,High,-19.86,No
SV500495,44,32.3,2.7,43.5,1.4,3,0.0,12.99,0,Family,Tablet,Credit Card,True,False,False,True,Low,High,-3.16,No
SV503544,31,3.3,14.9,88.7,23.0,2,0.0,12.99,0,Standard,Tablet,Debit Card,True,False,True,False,High,High,10.13,Yes
SV500461,25,7.7,5.5,42.6,3.6,3,2.0,8.99,0,Basic,Mobile,PayPal,True,False,True,False,Medium,High,6.29,Yes
SV502903,28,25.5,4.7,73.5,5.2,3,1.0,8.99,0,Basic,Laptop,Debit Card,True,True,False,False,Low,High,-6.14,No
SV501563,21,21.8,9.7,74.3,11.5,5,1.0,8.99,0,Basic,Laptop,Credit Card,True,False,False,True,Medium,High,-30.87,No
SV502553,16,14.6,0.4,44.3,1.6,4,0.0,15.99,0,Family,Mobile,Credit Card,True,True,True,False,Low,High,-1.02,No
SV500318,45,27.1,3.2,24.1,2.8,1,5.0,8.99,0,Basic,Mobile,PayPal,True,False,True,True,Low,Low,41.32,Yes
SV502453,25,10.1,13.8,70.6,1.2,1,0.0,12.99,0,Standard,SmartTV,Credit Card,True,True,True,True,High,High,-22.25,No
SV503265,38,11.1,4.2,8.6,4.9,4,0.0,19.99,50,Standard,Mobile,Credit Card,True,False,False,False,Medium,High,-2.82,No
SV502452,40,24.5,3.1,77.3,22.9,2,1.0,15.99,10,Premium,Tablet,Credit Card,True,True,False,False,Low,High,-15.43,No
SV501491,34,42.6,5.2,74.5,3.3,2,1.0,15.99,0,Premium,Mobile,Debit Card,True,False,False,False,Medium,Medium,4.69,No
SV503572,38,22.4,1.5,62.5,0.9,5,1.0,12.99,0,Basic,Laptop,Credit Card,False,True,False,False,Low,High,5.52,Yes
SV501289,43,39.8,11.7,43.7,5.4,3,0.0,19.99,0,Standard,Laptop,Gift Card,True,False,True,True,High,High,4.71,No
SV503322,36,15.1,4.9,73.0,33.8,1,2.0,12.99,20,Premium,Tablet,Gift Card,True,True,True,False,Low,Medium,32.37,Yes
SV503518,34,31.5,3.3,36.8,0.7,5,2.0,15.99,0,Basic,Tablet,Debit Card,True,False,False,False,Low,High,0.79,No
SV503393,22,9.2,19.0,45.0,1.8,4,2.0,15.99,20,Basic,Mobile,PayPal,True,False,True,True,High,High,-5.15,No
SV502233,51,17.4,4.1,24.5,27.0,3,2.0,12.99,20,Basic,SmartTV,PayPal,False,False,False,True,Low,Medium,23.91,Yes
SV500657,36,7.7,3.2,35.2,1.5,1,0.0,8.99,0,Premium,Mobile,Credit Card,True,False,False,True,Medium,High,-22.48,No
SV501056,36,11.5,0.9,52.9,3.0,5,2.0,15.99,0,Basic,SmartTV,PayPal,False,False,False,False,Medium,High,12.34,Yes
SV502119,42,12.8,4.6,69.9,3.6,3,0.0,19.99,20,Standard,Mobile,Credit Card,True,False,False,False,Low,High,7.23,Yes
SV503194,33,23.4,3.5,63.2,4.7,5,1.0,15.99,0,Basic,Laptop,Gift Card,True,False,True,False,Low,High,31.52,Yes
SV503894,41,36.6,6.3,52.1,3.2,3,1.0,8.99,0,Basic,Mobile,PayPal,True,False,True,True,Medium,High,4.19,No
