Date,Ticker,Asset_Type,Sector,Market_Cap_Tier,Open,High,Low,Close,Volume
2023-01-31,AAPL,Stock,Technology,Large-Cap,127.43,128.28,125.79,126.63,2558897
2023-02-01,AAPL,Stock,Technology,Large-Cap,127.52,129.1,125.27,126.85,3515383
2023-02-02,AAPL,Stock,Technology,Large-Cap,126.16,128.14,121.83,123.77,2675690
2023-02-03,AAPL,Stock,Technology,Large-Cap,124.94,125.17,122.43,122.66,2640483
2023-02-06,AAPL,Stock,Technology,Large-Cap,121.6,123.92,120.66,122.97,2844329
2023-02-07,AAPL,Stock,Technology,Large-Cap,122.88,124.44,119.04,120.56,3745220
2023-02-08,AAPL,Stock,Technology,Large-Cap,120.88,122.63,119.68,121.43,2623885
2023-02-09,AAPL,Stock,Technology,Large-Cap,121.58,123.03,118.79,120.22,6270609
2023-02-10,AAPL,Stock,Technology,Large-Cap,119.89,120.9,118.66,119.67,2125376
2023-02-13,AAPL,Stock,Technology,Large-Cap,119.56,120.86,117.18,118.47,3042248
2023-02-14,AAPL,Stock,Technology,Large-Cap,118.22,123.7,117.03,122.48,2676454
2023-02-15,AAPL,Stock,Technology,Large-Cap,122.16,124.32,120.36,122.52,6937624
2023-02-16,AAPL,Stock,Technology,Large-Cap,122.97,124.39,118.94,120.32,3689416
2023-02-17,AAPL,Stock,Technology,Large-Cap,120.51,123.58,119.09,122.14,5605154
2023-02-20,AAPL,Stock,Technology,Large-Cap,121.77,122.88,118.52,119.61,1583764
2023-02-21,AAPL,Stock,Technology,Large-Cap,120.08,121.18,119.02,120.12,3802219
2023-02-22,AAPL,Stock,Technology,Large-Cap,120.28,121.37,115.05,116.1,5192716
2023-02-23,AAPL,Stock,Technology,Large-Cap,116.52,117.91,112.12,113.48,3487894
2023-02-24,AAPL,Stock,Technology,Large-Cap,113.79,114.97,112.76,113.93,5670412
2023-02-27,AAPL,Stock,Technology,Large-Cap,113.52,116.83,112.2,115.49,2582583
2023-02-28,AAPL,Stock,Technology,Large-Cap,115.21,117.98,113.15,115.91,6850664
2023-03-01,AAPL,Stock,Technology,Large-Cap,116.29,117.88,114.16,115.74,10600320
2023-03-02,AAPL,Stock,Technology,Large-Cap,116.05,117.14,114.1,115.19,2778080
2023-03-03,AAPL,Stock,Technology,Large-Cap,115.18,116.88,110.62,112.28,2693787
2023-03-06,AAPL,Stock,Technology,Large-Cap,112.34,113.37,109.92,110.93,6884712
2023-03-07,AAPL,Stock,Technology,Large-Cap,111.56,111.93,109.72,110.09,7250271
2023-03-08,AAPL,Stock,Technology,Large-Cap,109.81,113.02,109.04,112.23,2552351
2023-03-09,AAPL,Stock,Technology,Large-Cap,112.5,113.42,112.05,112.97,2670675
2023-03-10,AAPL,Stock,Technology,Large-Cap,112.87,113.93,108.55,109.58,2892469
2023-03-13,AAPL,Stock,Technology,Large-Cap,109.47,111.44,108.31,110.27,1704610
2023-03-14,AAPL,Stock,Technology,Large-Cap,110.8,112.63,107.77,109.58,2133203
2023-03-15,AAPL,Stock,Technology,Large-Cap,109.98,111.27,107.07,108.34,2025102
2023-03-16,AAPL,Stock,Technology,Large-Cap,108.73,110.65,107.66,109.58,2270547
2023-03-17,AAPL,Stock,Technology,Large-Cap,110.21,113.16,108.72,111.65,3299616
2023-03-20,AAPL,Stock,Technology,Large-Cap,111.66,113.88,111.35,113.56,3695615
2023-03-21,AAPL,Stock,Technology,Large-Cap,113.9,115.2,110.68,111.96,7259503
2023-03-22,AAPL,Stock,Technology,Large-Cap,111.8,113.29,109.93,111.41,2037185
2023-03-23,AAPL,Stock,Technology,Large-Cap,111.57,112.73,110.97,112.13,5405016
2023-03-24,AAPL,Stock,Technology,Large-Cap,112.06,115.8,110.42,114.14,3023186
2023-03-27,AAPL,Stock,Technology,Large-Cap,114.18,115.53,111.9,113.24,3264278
2023-03-28,AAPL,Stock,Technology,Large-Cap,113.54,114.57,111.9,112.93,4664454
2023-03-29,AAPL,Stock,Technology,Large-Cap,112.52,113.97,109.39,110.81,1912547
2023-03-30,AAPL,Stock,Technology,Large-Cap,111.83,113.91,106.54,108.56,4105001
2023-03-31,AAPL,Stock,Technology,Large-Cap,108.08,111.42,106.86,110.19,3632482
2023-04-03,AAPL,Stock,Technology,Large-Cap,109.6,114.21,108.34,112.92,4277521
2023-04-04,AAPL,Stock,Technology,Large-Cap,113.49,114.51,111.83,112.84,3845255
2023-04-05,AAPL,Stock,Technology,Large-Cap,113.23,115.79,112.37,114.92,11327072
2023-04-06,AAPL,Stock,Technology,Large-Cap,115.23,117.28,113.68,115.72,2440700
2023-04-07,AAPL,Stock,Technology,Large-Cap,116.04,116.91,113.6,114.47,2544677
2023-04-10,AAPL,Stock,Technology,Large-Cap,114.46,116.52,113.22,115.27,2445766
2023-04-11,AAPL,Stock,Technology,Large-Cap,114.81,119.56,113.79,118.5,2520331
2023-04-12,AAPL,Stock,Technology,Large-Cap,118.54,120.0,117.04,118.49,2435238
2023-04-13,AAPL,Stock,Technology,Large-Cap,118.14,123.31,116.75,121.88,6063247
2023-04-14,AAPL,Stock,Technology,Large-Cap,122.4,124.15,114.78,116.44,6840286
2023-04-17,AAPL,Stock,Technology,Large-Cap,116.36,119.24,115.34,118.21,2500601
2023-04-18,AAPL,Stock,Technology,Large-Cap,117.78,119.59,116.64,118.45,2197654
2023-04-19,AAPL,Stock,Technology,Large-Cap,118.29,119.13,117.06,117.9,4196945
2023-04-20,AAPL,Stock,Technology,Large-Cap,118.11,119.22,117.05,118.15,2525019
2023-04-21,AAPL,Stock,Technology,Large-Cap,117.86,119.26,112.79,114.15,4592864
2023-04-24,AAPL,Stock,Technology,Large-Cap,113.73,115.28,112.23,113.77,3714011
2023-04-25,AAPL,Stock,Technology,Large-Cap,113.89,115.39,113.06,114.55,1554526
2023-04-26,AAPL,Stock,Technology,Large-Cap,114.68,119.25,113.11,117.64,7280338
2023-04-27,AAPL,Stock,Technology,Large-Cap,117.38,119.18,114.85,116.64,8270508
2023-04-28,AAPL,Stock,Technology,Large-Cap,116.4,117.8,113.66,115.05,2464262
2023-05-01,AAPL,Stock,Technology,Large-Cap,115.17,117.15,112.14,114.1,2785611
2023-05-02,AAPL,Stock,Technology,Large-Cap,113.37,116.93,112.48,116.02,3830543
2023-05-03,AAPL,Stock,Technology,Large-Cap,115.3,117.49,114.59,116.76,3911912
2023-05-04,AAPL,Stock,Technology,Large-Cap,116.39,116.89,115.24,115.74,4582942
2023-05-05,AAPL,Stock,Technology,Large-Cap,115.63,118.71,113.8,116.86,9214884
2023-05-08,AAPL,Stock,Technology,Large-Cap,117.02,118.63,115.51,117.12,3069368
2023-05-09,AAPL,Stock,Technology,Large-Cap,117.89,120.45,116.66,119.21,2238714
2023-05-10,AAPL,Stock,Technology,Large-Cap,119.66,121.04,116.45,117.81,1678175
2023-05-11,AAPL,Stock,Technology,Large-Cap,117.73,118.5,116.42,117.19,2298284
2023-05-12,AAPL,Stock,Technology,Large-Cap,117.18,119.44,114.21,116.45,3338854
2023-05-15,AAPL,Stock,Technology,Large-Cap,115.94,117.22,112.29,113.55,8195669
2023-05-16,AAPL,Stock,Technology,Large-Cap,113.54,115.46,112.29,114.21,2578955
2023-05-17,AAPL,Stock,Technology,Large-Cap,114.06,116.31,112.56,114.8,3752155
2023-05-18,AAPL,Stock,Technology,Large-Cap,114.96,116.37,113.46,114.87,3321913
2023-05-19,AAPL,Stock,Technology,Large-Cap,114.45,115.76,113.15,114.46,6056771
2023-05-22,AAPL,Stock,Technology,Large-Cap,114.72,115.62,110.83,111.7,11744961
2023-05-23,AAPL,Stock,Technology,Large-Cap,112.46,113.83,109.58,110.94,2568320
2023-05-24,AAPL,Stock,Technology,Large-Cap,110.88,112.79,108.43,110.33,2647548
2023-05-25,AAPL,Stock,Technology,Large-Cap,110.53,112.22,107.17,108.84,5678957
2023-05-26,AAPL,Stock,Technology,Large-Cap,109.17,110.94,106.83,108.59,4746120
2023-05-29,AAPL,Stock,Technology,Large-Cap,108.4,110.39,107.45,109.43,8374990
2023-05-30,AAPL,Stock,Technology,Large-Cap,109.54,114.0,108.76,113.2,4439482
2023-05-31,AAPL,Stock,Technology,Large-Cap,113.2,114.76,112.05,113.61,2786869
2023-06-01,AAPL,Stock,Technology,Large-Cap,113.66,115.42,112.43,114.19,4486832
2023-06-02,AAPL,Stock,Technology,Large-Cap,113.8,115.75,112.16,114.1,5855127
2023-06-05,AAPL,Stock,Technology,Large-Cap,114.12,114.64,109.86,110.37,4972453
2023-06-06,AAPL,Stock,Technology,Large-Cap,110.61,112.38,108.61,110.38,4347425
2023-06-07,AAPL,Stock,Technology,Large-Cap,111.08,112.2,109.45,110.56,5684138
2023-06-08,AAPL,Stock,Technology,Large-Cap,111.02,116.58,110.02,115.53,5972279
2023-06-09,AAPL,Stock,Technology,Large-Cap,116.63,117.45,114.4,115.2,6616038
2023-06-12,AAPL,Stock,Technology,Large-Cap,114.81,116.43,114.27,115.88,4564413
2023-06-13,AAPL,Stock,Technology,Large-Cap,116.33,117.9,114.31,115.88,3088071
2023-06-14,AAPL,Stock,Technology,Large-Cap,115.97,117.23,112.34,113.58,3594115
2023-06-15,AAPL,Stock,Technology,Large-Cap,114.67,116.65,113.98,115.95,6048054
2023-06-16,AAPL,Stock,Technology,Large-Cap,115.54,118.27,114.85,117.57,2198947
2023-06-19,AAPL,Stock,Technology,Large-Cap,117.13,120.41,116.03,119.29,4004619
2023-06-20,AAPL,Stock,Technology,Large-Cap,118.97,120.93,115.52,117.45,2773834
2023-06-21,AAPL,Stock,Technology,Large-Cap,116.35,121.63,115.23,120.46,3380460
2023-06-22,AAPL,Stock,Technology,Large-Cap,120.18,120.82,116.97,117.59,6260254
2023-06-23,AAPL,Stock,Technology,Large-Cap,117.19,120.03,116.05,118.88,3666673
2023-06-26,AAPL,Stock,Technology,Large-Cap,118.96,124.82,117.81,123.63,3410185
2023-06-27,AAPL,Stock,Technology,Large-Cap,123.81,123.95,121.43,121.56,1659800
2023-06-28,AAPL,Stock,Technology,Large-Cap,122.56,123.83,119.16,120.41,4846157
2023-06-29,AAPL,Stock,Technology,Large-Cap,120.92,122.1,119.51,120.69,4602408
2023-06-30,AAPL,Stock,Technology,Large-Cap,120.39,121.96,118.13,119.69,9893327
2023-07-03,AAPL,Stock,Technology,Large-Cap,119.22,121.26,114.54,116.53,2898632
2023-07-04,AAPL,Stock,Technology,Large-Cap,116.78,118.48,115.04,116.74,3753779
2023-07-05,AAPL,Stock,Technology,Large-Cap,116.06,117.17,113.53,114.63,3774496
2023-07-06,AAPL,Stock,Technology,Large-Cap,115.56,116.43,114.79,115.66,7289877
2023-07-07,AAPL,Stock,Technology,Large-Cap,116.26,118.55,111.62,113.86,3239471
2023-07-10,AAPL,Stock,Technology,Large-Cap,113.63,118.35,112.4,117.08,3839546
2023-07-11,AAPL,Stock,Technology,Large-Cap,116.2,117.43,114.31,115.54,4524373
2023-07-12,AAPL,Stock,Technology,Large-Cap,116.23,117.45,113.74,114.95,3664062
2023-07-13,AAPL,Stock,Technology,Large-Cap,114.89,117.99,113.6,116.68,2674026
2023-07-14,AAPL,Stock,Technology,Large-Cap,117.31,118.5,113.08,114.24,3674737
2023-07-17,AAPL,Stock,Technology,Large-Cap,113.43,115.74,112.46,114.76,5687547
2023-07-18,AAPL,Stock,Technology,Large-Cap,114.46,118.52,113.46,117.5,1990511
2023-07-19,AAPL,Stock,Technology,Large-Cap,117.5,118.73,113.08,114.28,3566886
2023-07-20,AAPL,Stock,Technology,Large-Cap,114.3,115.71,113.31,114.72,2343422
2023-07-21,AAPL,Stock,Technology,Large-Cap,114.49,116.24,113.57,115.31,6037684
2023-07-24,AAPL,Stock,Technology,Large-Cap,115.62,118.26,114.36,116.97,1559828
2023-07-25,AAPL,Stock,Technology,Large-Cap,116.42,117.55,113.41,114.51,2519877
2023-07-26,AAPL,Stock,Technology,Large-Cap,114.44,116.26,110.16,111.94,4072993
2023-07-27,AAPL,Stock,Technology,Large-Cap,112.0,113.18,111.86,113.04,7168604
2023-07-28,AAPL,Stock,Technology,Large-Cap,113.3,115.34,111.66,113.7,3254610
2023-07-31,AAPL,Stock,Technology,Large-Cap,114.05,115.97,112.34,114.26,2550800
2023-08-01,AAPL,Stock,Technology,Large-Cap,113.7,115.4,113.32,115.03,8428208
2023-08-02,AAPL,Stock,Technology,Large-Cap,114.25,115.32,112.65,113.72,1614551
2023-08-03,AAPL,Stock,Technology,Large-Cap,114.36,115.42,113.19,114.25,1109003
2023-08-04,AAPL,Stock,Technology,Large-Cap,114.42,115.55,113.78,114.91,4119243
2023-08-07,AAPL,Stock,Technology,Large-Cap,114.53,115.43,112.64,113.53,2583174
2023-08-08,AAPL,Stock,Technology,Large-Cap,114.31,118.18,113.55,117.4,1987972
2023-08-09,AAPL,Stock,Technology,Large-Cap,117.46,120.43,115.49,118.45,4814569
2023-08-10,AAPL,Stock,Technology,Large-Cap,119.06,120.72,114.44,116.05,3795358
2023-08-11,AAPL,Stock,Technology,Large-Cap,116.08,119.24,114.33,117.47,2539944
2023-08-14,AAPL,Stock,Technology,Large-Cap,118.53,120.09,114.01,115.53,1768719
2023-08-15,AAPL,Stock,Technology,Large-Cap,116.42,117.98,115.65,117.21,5123469
2023-08-16,AAPL,Stock,Technology,Large-Cap,117.08,120.74,116.06,119.7,4603903
2023-08-17,AAPL,Stock,Technology,Large-Cap,120.21,121.69,116.59,118.04,3187452
2023-08-18,AAPL,Stock,Technology,Large-Cap,118.38,120.88,117.63,120.13,8333415
2023-08-21,AAPL,Stock,Technology,Large-Cap,120.86,122.66,119.27,121.08,1964634
2023-08-22,AAPL,Stock,Technology,Large-Cap,120.56,124.11,119.39,122.91,1554276
2023-08-23,AAPL,Stock,Technology,Large-Cap,123.29,128.34,122.14,127.17,2355816
2023-08-24,AAPL,Stock,Technology,Large-Cap,127.76,129.43,125.03,126.69,3279010
2023-08-25,AAPL,Stock,Technology,Large-Cap,125.71,127.23,123.57,125.09,3781682
2023-08-28,AAPL,Stock,Technology,Large-Cap,124.43,125.59,122.06,123.21,2951517
2023-08-29,AAPL,Stock,Technology,Large-Cap,122.1,123.89,119.73,121.51,4012603
2023-08-30,AAPL,Stock,Technology,Large-Cap,121.37,122.24,120.55,121.42,1772104
2023-08-31,AAPL,Stock,Technology,Large-Cap,121.8,123.78,120.25,122.22,6900289
2023-09-01,AAPL,Stock,Technology,Large-Cap,123.03,124.59,121.33,122.88,3216997
2023-09-04,AAPL,Stock,Technology,Large-Cap,122.92,125.94,121.76,124.76,5823733
2023-09-05,AAPL,Stock,Technology,Large-Cap,125.66,127.13,123.39,124.86,3971119
2023-09-06,AAPL,Stock,Technology,Large-Cap,124.1,128.96,123.33,128.17,4158396
2023-09-07,AAPL,Stock,Technology,Large-Cap,127.21,129.41,125.45,127.65,4466843
2023-09-08,AAPL,Stock,Technology,Large-Cap,127.62,135.33,126.35,134.0,4170394
2023-09-11,AAPL,Stock,Technology,Large-Cap,134.22,136.74,133.05,135.56,4586778
2023-09-12,AAPL,Stock,Technology,Large-Cap,135.54,137.48,131.69,133.6,6535392
2023-09-13,AAPL,Stock,Technology,Large-Cap,132.38,133.45,130.11,131.17,3664958
2023-09-14,AAPL,Stock,Technology,Large-Cap,131.12,133.11,130.38,132.37,4712212
2023-09-15,AAPL,Stock,Technology,Large-Cap,131.61,132.59,130.94,131.92,3157414
2023-09-18,AAPL,Stock,Technology,Large-Cap,132.31,135.37,130.63,133.67,6887246
2023-09-19,AAPL,Stock,Technology,Large-Cap,133.88,135.68,133.07,134.86,2359270
2023-09-20,AAPL,Stock,Technology,Large-Cap,134.3,137.03,132.05,134.76,8314125
2023-09-21,AAPL,Stock,Technology,Large-Cap,134.46,134.9,132.41,132.84,3224786
2023-09-22,AAPL,Stock,Technology,Large-Cap,132.22,134.41,127.27,129.41,1651526
2023-09-25,AAPL,Stock,Technology,Large-Cap,129.38,130.84,127.01,128.47,3564214
2023-09-26,AAPL,Stock,Technology,Large-Cap,129.01,131.83,127.69,130.5,2373202
2023-09-27,AAPL,Stock,Technology,Large-Cap,129.93,132.2,128.8,131.06,5063127
2023-09-28,AAPL,Stock,Technology,Large-Cap,131.35,132.93,126.75,128.29,2415427
2023-09-29,AAPL,Stock,Technology,Large-Cap,127.99,130.1,126.65,128.75,2670011
2023-10-02,AAPL,Stock,Technology,Large-Cap,128.3,131.58,126.44,129.7,1307684
2023-10-03,AAPL,Stock,Technology,Large-Cap,129.64,131.06,126.36,127.77,2664643
2023-10-04,AAPL,Stock,Technology,Large-Cap,127.18,129.61,125.77,128.18,994547
2023-10-05,AAPL,Stock,Technology,Large-Cap,127.87,129.58,126.68,128.39,1508276
2023-10-06,AAPL,Stock,Technology,Large-Cap,127.71,129.04,124.59,125.9,4880503
2023-10-09,AAPL,Stock,Technology,Large-Cap,126.99,128.47,125.28,126.76,4955306
2023-10-10,AAPL,Stock,Technology,Large-Cap,126.78,128.68,126.21,128.1,4080735
2023-10-11,AAPL,Stock,Technology,Large-Cap,127.7,131.4,126.96,130.64,2039262
2023-10-12,AAPL,Stock,Technology,Large-Cap,130.76,134.92,129.04,133.16,3276255
2023-10-13,AAPL,Stock,Technology,Large-Cap,133.1,134.59,128.59,130.04,3336135
2023-10-16,AAPL,Stock,Technology,Large-Cap,129.91,131.2,126.71,127.98,1868209
2023-10-17,AAPL,Stock,Technology,Large-Cap,128.32,130.59,126.96,129.22,7079909
2023-10-18,AAPL,Stock,Technology,Large-Cap,129.65,132.01,128.12,130.47,5188861
2023-10-19,AAPL,Stock,Technology,Large-Cap,130.16,132.87,129.03,131.73,2977893
2023-10-20,AAPL,Stock,Technology,Large-Cap,131.4,142.18,130.37,141.07,3365193
2023-10-23,AAPL,Stock,Technology,Large-Cap,140.9,144.19,139.31,142.58,3709800
2023-10-24,AAPL,Stock,Technology,Large-Cap,141.13,146.58,140.13,145.55,1194567
2023-10-25,AAPL,Stock,Technology,Large-Cap,144.57,149.88,142.84,148.1,2958441
2023-10-26,AAPL,Stock,Technology,Large-Cap,148.99,150.58,148.31,149.89,2345759
2023-10-27,AAPL,Stock,Technology,Large-Cap,150.98,153.13,147.03,149.15,2037472
2023-10-30,AAPL,Stock,Technology,Large-Cap,148.98,153.09,147.16,151.24,2909974
2023-10-31,AAPL,Stock,Technology,Large-Cap,151.63,153.37,147.56,149.28,8215685
2023-11-01,AAPL,Stock,Technology,Large-Cap,149.48,151.58,146.65,148.74,4630304
2023-11-02,AAPL,Stock,Technology,Large-Cap,150.76,153.24,145.12,147.55,2537771
2023-11-03,AAPL,Stock,Technology,Large-Cap,148.28,150.38,145.75,147.85,4475910
2023-11-06,AAPL,Stock,Technology,Large-Cap,147.76,154.73,147.16,154.09,6634689
2023-11-07,AAPL,Stock,Technology,Large-Cap,153.45,154.38,148.28,149.19,5253378
2023-11-08,AAPL,Stock,Technology,Large-Cap,148.13,152.35,146.89,151.09,3424390
2023-11-09,AAPL,Stock,Technology,Large-Cap,151.22,152.84,145.36,146.93,2416080
2023-11-10,AAPL,Stock,Technology,Large-Cap,146.44,148.26,143.99,145.8,4749865
2023-11-13,AAPL,Stock,Technology,Large-Cap,144.88,149.9,143.72,148.71,4043660
2023-11-14,AAPL,Stock,Technology,Large-Cap,148.28,150.63,146.61,148.96,5229526
2023-11-15,AAPL,Stock,Technology,Large-Cap,148.25,149.42,145.08,146.23,4562121
2023-11-16,AAPL,Stock,Technology,Large-Cap,147.32,148.56,143.26,144.48,5618006
2023-11-17,AAPL,Stock,Technology,Large-Cap,145.04,147.13,144.23,146.31,2529573
2023-11-20,AAPL,Stock,Technology,Large-Cap,146.3,147.37,143.45,144.51,6409187
2023-11-21,AAPL,Stock,Technology,Large-Cap,145.46,146.3,144.3,145.15,3650454
2023-11-22,AAPL,Stock,Technology,Large-Cap,145.2,146.38,144.16,145.35,9358637
2023-11-23,AAPL,Stock,Technology,Large-Cap,144.79,146.86,141.71,143.76,2382365
2023-11-24,AAPL,Stock,Technology,Large-Cap,144.73,150.47,143.68,149.39,7899783
2023-11-27,AAPL,Stock,Technology,Large-Cap,149.74,154.16,146.77,151.15,3752468
2023-11-28,AAPL,Stock,Technology,Large-Cap,150.46,152.32,144.13,145.93,2418453
2023-11-29,AAPL,Stock,Technology,Large-Cap,145.81,148.14,144.17,146.49,2624178
2023-11-30,AAPL,Stock,Technology,Large-Cap,145.93,147.03,143.78,144.87,2827273
2023-12-01,AAPL,Stock,Technology,Large-Cap,143.99,149.07,142.11,147.15,4146830
2023-12-04,AAPL,Stock,Technology,Large-Cap,147.75,149.02,143.95,145.19,4318323
2023-12-05,AAPL,Stock,Technology,Large-Cap,146.41,148.02,143.38,144.98,2507853
2023-12-06,AAPL,Stock,Technology,Large-Cap,144.08,149.23,141.26,146.36,3356136
2023-12-07,AAPL,Stock,Technology,Large-Cap,146.72,150.21,145.22,148.69,9736734
2023-12-08,AAPL,Stock,Technology,Large-Cap,148.26,150.43,143.53,145.66,7981411
2023-12-11,AAPL,Stock,Technology,Large-Cap,145.34,146.52,143.71,144.88,4131854
2023-12-12,AAPL,Stock,Technology,Large-Cap,144.5,146.01,142.25,143.75,3401425
2023-12-13,AAPL,Stock,Technology,Large-Cap,143.21,145.62,139.79,142.19,3588056
2023-12-14,AAPL,Stock,Technology,Large-Cap,142.22,147.99,141.03,146.76,4517019
2023-12-15,AAPL,Stock,Technology,Large-Cap,146.23,150.41,143.74,147.9,2026850
2023-12-18,AAPL,Stock,Technology,Large-Cap,148.08,150.01,142.83,144.73,2949466
2023-12-19,AAPL,Stock,Technology,Large-Cap,144.7,148.44,143.45,147.17,1443757
2023-12-20,AAPL,Stock,Technology,Large-Cap,147.02,154.83,145.13,152.87,4093523
2023-12-21,AAPL,Stock,Technology,Large-Cap,152.26,157.95,150.12,155.77,4644712
2023-12-22,AAPL,Stock,Technology,Large-Cap,155.37,157.36,149.79,151.73,2633011
2023-12-25,AAPL,Stock,Technology,Large-Cap,152.24,153.01,149.77,150.53,7253759
2023-12-26,AAPL,Stock,Technology,Large-Cap,150.86,155.25,149.65,154.01,1799511
2023-12-27,AAPL,Stock,Technology,Large-Cap,153.35,154.84,150.71,152.19,1602452
2023-12-28,AAPL,Stock,Technology,Large-Cap,152.25,155.05,150.68,153.47,3732753
2023-12-29,AAPL,Stock,Technology,Large-Cap,153.98,157.66,152.01,155.67,5659088
2023-01-01,BTC-USD,Crypto,Cryptocurrency,N/A,16428.6,16655.9,16106.77,16332.74,4716885
2023-01-02,BTC-USD,Crypto,Cryptocurrency,N/A,16483.84,16731.05,15827.82,16068.8,2115886
2023-01-03,BTC-USD,Crypto,Cryptocurrency,N/A,16163.33,16509.3,15822.06,16167.93,1932548
2023-01-04,BTC-USD,Crypto,Cryptocurrency,N/A,16205.49,16692.75,16129.85,16615.2,2774291
2023-01-05,BTC-USD,Crypto,Cryptocurrency,N/A,16474.12,18610.39,15950.24,18036.81,2594135
2023-01-06,BTC-USD,Crypto,Cryptocurrency,N/A,18036.38,19006.36,17613.98,18571.43,3063213
2023-01-07,BTC-USD,Crypto,Cryptocurrency,N/A,18487.22,19895.77,17955.48,19339.51,1681911
2023-01-08,BTC-USD,Crypto,Cryptocurrency,N/A,19282.91,19469.15,18845.91,19029.7,5381838
2023-01-09,BTC-USD,Crypto,Cryptocurrency,N/A,18969.08,19516.95,17865.22,18396.56,6076872
2023-01-10,BTC-USD,Crypto,Cryptocurrency,N/A,18243.22,19112.22,17593.8,18455.26,1322592
2023-01-11,BTC-USD,Crypto,Cryptocurrency,N/A,18148.0,18754.27,17940.65,18542.41,5453798
2023-01-12,BTC-USD,Crypto,Cryptocurrency,N/A,18437.03,18910.17,17434.21,17893.4,2291660
2023-01-13,BTC-USD,Crypto,Cryptocurrency,N/A,17922.83,18288.83,17442.34,17805.95,5222662
2023-01-14,BTC-USD,Crypto,Cryptocurrency,N/A,17601.77,18247.71,17427.44,18068.75,3221610
2023-01-15,BTC-USD,Crypto,Cryptocurrency,N/A,18071.16,18746.36,17641.65,18311.15,3474035
2023-01-16,BTC-USD,Crypto,Cryptocurrency,N/A,18607.12,19134.33,18121.73,18647.88,3135525
2023-01-17,BTC-USD,Crypto,Cryptocurrency,N/A,18810.15,19161.22,18503.11,18853.47,6188413
2023-01-18,BTC-USD,Crypto,Cryptocurrency,N/A,19117.03,19658.94,18024.93,18550.79,1858631
2023-01-19,BTC-USD,Crypto,Cryptocurrency,N/A,18612.5,18781.36,18083.14,18248.69,4510423
2023-01-20,BTC-USD,Crypto,Cryptocurrency,N/A,18429.9,18618.67,17358.31,17537.95,5785949
2023-01-21,BTC-USD,Crypto,Cryptocurrency,N/A,17429.95,19053.92,17057.94,18655.75,4876655
2023-01-22,BTC-USD,Crypto,Cryptocurrency,N/A,18553.51,19068.82,18171.56,18684.18,10882831
2023-01-23,BTC-USD,Crypto,Cryptocurrency,N/A,18248.87,18849.95,17965.33,18561.55,2587308
2023-01-24,BTC-USD,Crypto,Cryptocurrency,N/A,18748.82,19234.83,17536.65,18003.34,5549387
2023-01-25,BTC-USD,Crypto,Cryptocurrency,N/A,18239.21,20394.05,17801.0,19915.55,3249097
2023-01-26,BTC-USD,Crypto,Cryptocurrency,N/A,19821.85,20342.23,18717.24,19221.87,6374884
2023-01-27,BTC-USD,Crypto,Cryptocurrency,N/A,19180.35,19555.82,18592.41,18963.64,3383968
2023-01-28,BTC-USD,Crypto,Cryptocurrency,N/A,18842.04,19726.33,18380.15,19254.33,2824736
2023-01-29,BTC-USD,Crypto,Cryptocurrency,N/A,19317.0,20014.44,18981.25,19672.51,6499317
2023-01-30,BTC-USD,Crypto,Cryptocurrency,N/A,19860.74,21045.55,19177.75,20345.88,2732519
