flight_id,distance_km,battery_level_pct,temperature_c,humidity_pct,wind_speed_kmh,payload_weight_kg,altitude_m,pilot_experience_years,traffic_density_index,sensor_reading,weather_condition,drone_type,delivery_zone,is_weekend,night_flight,gps_signal_lost,restricted_airspace_clearance,operator_certification_level,traffic_level,risk_score_hidden,risk_level
FL100900,0.83,99.1,44.1,43.2,25.7,1.53,75.5,9.3,38.2,48.31,Windy,Quadcopter,Urban,False,False,False,True,Basic,Medium,3.51,Low
FL101073,9.03,69.8,25.0,61.6,16.5,0.93,62.8,0.2,55.2,48.72,Cloudy,FixedWing,Urban,False,True,False,True,Expert,Medium,-4.36,Low
FL100472,6.95,61.6,14.4,63.9,10.0,0.38,100.2,2.9,23.5,51.46,Cloudy,Quadcopter,Urban,False,True,False,False,Basic,Low,-1.01,Low
FL102738,4.93,72.8,27.6,75.9,10.1,2.11,80.6,0.6,100.0,67.31,Foggy,Quadcopter,Urban,True,True,False,True,Basic,High,19.77,High
FL102546,5.19,79.9,30.5,66.3,5.2,2.09,87.3,1.0,36.9,40.25,Foggy,Hexacopter,Rural,False,False,False,False,Basic,Low,4.16,Low
FL100044,9.38,100.0,23.7,38.2,16.5,3.83,104.9,1.8,45.1,68.0,Cloudy,Quadcopter,Urban,False,False,False,True,Expert,Medium,-2.29,Low
FL100289,7.19,56.3,18.6,57.5,5.5,3.01,87.5,1.0,41.6,40.19,Foggy,Hexacopter,Suburban,True,True,False,False,Basic,Low,17.52,Medium
FL100912,4.91,79.7,26.9,54.5,1.1,1.57,96.7,4.1,20.3,43.37,Cloudy,FixedWing,Suburban,False,True,False,True,Expert,Low,-12.01,Low
FL102083,2.99,98.1,29.1,59.3,19.3,0.85,101.2,11.2,47.4,52.72,Clear,Quadcopter,Restricted,False,True,False,True,Basic,Medium,-2.6,Low
FL101360,12.62,77.0,16.5,58.5,15.9,6.12,63.2,2.0,41.5,52.98,Cloudy,Quadcopter,Rural,True,True,False,True,Basic,Medium,25.66,High
FL102895,4.71,75.6,29.8,44.0,16.0,8.0,99.2,1.1,46.9,61.55,Stormy,Quadcopter,Urban,False,False,False,True,Advanced,Medium,24.11,High
FL102603,7.86,90.2,38.9,67.9,13.3,2.0,100.2,2.1,55.9,47.22,Windy,Quadcopter,Suburban,False,True,False,False,Advanced,Medium,5.9,Low
FL101226,17.95,58.3,29.2,59.1,5.6,0.23,93.9,0.9,28.6,42.48,Clear,Quadcopter,Suburban,False,False,False,True,Advanced,Medium,17.13,Medium
FL100296,7.06,77.1,24.8,54.3,5.6,2.17,82.7,3.1,53.5,59.78,Clear,Quadcopter,Restricted,True,False,False,False,Basic,Medium,-5.75,Low
FL101241,10.87,95.7,33.5,45.5,13.9,3.67,113.0,,47.7,45.0,Clear,Hexacopter,Rural,False,False,False,False,Expert,Medium,-7.53,Low
FL101005,0.3,100.0,24.7,33.9,34.1,3.51,59.9,3.7,67.3,55.43,Clear,Quadcopter,Rural,False,False,False,True,Expert,Medium,-17.72,Low
FL101665,13.35,55.2,34.5,55.7,5.3,2.51,109.3,4.2,63.7,,Cloudy,Quadcopter,Urban,True,False,False,False,Basic,High,27.87,High
FL100746,2.22,100.0,26.7,63.2,24.1,1.39,78.7,1.2,15.5,61.91,Clear,Hexacopter,Urban,False,False,False,True,Advanced,Low,-0.92,Low
FL102851,5.94,99.9,26.0,69.9,3.9,6.17,111.5,1.2,56.0,32.62,Clear,FixedWing,Rural,False,False,False,True,Basic,Medium,3.89,Low
FL100291,13.93,96.3,22.6,61.8,23.8,1.24,87.1,2.9,57.8,49.35,Clear,Quadcopter,Suburban,False,False,False,False,Advanced,Low,4.33,Low
FL100781,5.92,93.8,18.3,79.1,30.6,4.34,65.9,1.0,19.8,35.24,Windy,Hexacopter,Urban,False,True,False,True,Basic,Medium,46.72,High
FL102144,5.85,100.0,16.7,52.5,7.8,1.43,94.0,1.9,54.3,57.92,Clear,Quadcopter,Rural,False,False,False,True,Basic,Medium,10.26,Medium
FL100322,8.88,87.3,27.3,69.3,9.7,2.33,87.6,3.7,44.9,53.74,Rainy,Hexacopter,Suburban,False,False,False,True,Basic,Medium,5.84,Low
FL100298,18.0,64.2,34.1,37.7,2.9,2.53,112.2,1.5,26.2,55.21,Clear,Quadcopter,Rural,False,True,False,True,Expert,Low,1.28,Low
FL101298,3.46,63.9,34.4,31.7,17.6,5.18,144.5,0.5,81.5,50.96,Cloudy,Hexacopter,Rural,False,False,True,False,Basic,High,55.88,High
FL100194,3.13,89.4,17.7,40.8,14.8,0.96,78.2,2.3,20.2,48.09,Rainy,Hexacopter,Suburban,False,False,False,False,Advanced,Low,-1.46,Low
FL100063,136.5,61.5,44.0,32.5,16.9,6.51,59.4,0.4,49.0,60.76,Rainy,FixedWing,Suburban,False,False,False,True,Basic,Medium,14.58,Medium
FL100393,6.24,73.3,16.9,53.9,32.2,1.83,89.9,2.3,52.9,30.33,Windy,Quadcopter,Urban,False,False,False,True,Advanced,Medium,5.25,Low
FL100727,6.38,87.9,22.6,56.9,19.3,2.09,119.6,1.4,31.2,53.58,Rainy,Quadcopter,Urban,False,False,False,True,Advanced,Low,3.08,Low
FL101583,2.16,77.9,26.1,72.5,2.2,6.77,76.3,4.6,50.8,42.88,Clear,Quadcopter,Suburban,False,False,False,True,Basic,High,22.4,High
FL101547,6.82,82.0,42.9,55.7,30.9,2.75,52.7,2.7,43.5,48.45,Foggy,Quadcopter,Restricted,False,False,False,True,Basic,Medium,2.66,Low
FL102425,2.84,89.5,36.1,41.5,20.6,1.39,141.3,2.2,60.9,61.69,Rainy,Quadcopter,Urban,False,True,False,True,Advanced,High,7.92,Low
FL100014,4.0,73.5,35.1,17.5,11.3,3.92,142.4,5.3,32.2,57.79,Windy,Quadcopter,Urban,False,False,False,True,Basic,Low,5.76,Low
FL102567,6.18,67.3,22.7,44.9,8.8,2.59,84.7,3.2,12.0,60.67,Cloudy,Quadcopter,Urban,True,True,False,False,Basic,Low,-4.91,Low
FL101600,5.7,89.2,24.4,44.1,4.5,0.62,80.4,0.3,57.0,44.39,Stormy,Quadcopter,Urban,False,False,True,True,Basic,Medium,27.98,High
FL101090,6.38,63.3,47.4,39.4,7.8,3.55,86.2,15.0,15.3,57.91,Rainy,Quadcopter,Suburban,False,False,False,True,Expert,Low,-2.03,Low
FL102111,3.63,74.8,16.7,51.7,10.6,0.25,83.4,4.0,41.0,44.83,Windy,Quadcopter,Rural,False,False,True,True,Advanced,Medium,13.26,Medium
FL100203,4.88,89.4,21.6,44.0,12.7,1.5,101.3,0.4,42.8,55.7,Cloudy,Hexacopter,Urban,False,False,False,True,Basic,Medium,8.33,Medium
FL102418,20.04,92.7,35.3,57.4,2.6,1.47,101.8,1.0,40.9,47.53,Clear,Quadcopter,Suburban,False,True,False,False,Advanced,Medium,12.56,Medium
FL100152,17.16,73.3,30.6,54.9,3.3,0.71,120.3,4.6,13.1,59.91,Cloudy,Quadcopter,Urban,False,False,False,True,Advanced,Low,7.6,Low
FL102901,7.25,87.2,21.8,50.8,4.8,4.86,75.5,11.7,25.1,61.59,Foggy,FixedWing,Suburban,False,False,False,False,Expert,Low,5.14,Low
FL101359,1.09,74.2,18.1,100.0,3.3,2.44,118.1,3.6,28.3,46.73,Windy,Quadcopter,Rural,True,False,False,False,Basic,Low,7.22,Low
FL100772,3.63,83.3,14.4,63.5,29.6,2.23,85.4,0.0,0.0,42.71,Cloudy,Hexacopter,Urban,False,False,False,True,Advanced,Low,2.72,Low
FL102678,3.64,96.0,30.8,73.8,7.7,1.9,82.1,8.9,48.6,40.56,Rainy,Hexacopter,Rural,False,False,False,True,Basic,Medium,15.75,Medium
FL101001,8.31,96.2,32.3,65.2,1.3,4.44,72.9,1.4,52.2,29.65,Rainy,Hexacopter,Urban,False,False,False,True,Advanced,Medium,-0.89,Low
FL100718,12.34,69.1,25.0,86.3,18.0,0.99,83.0,1.6,28.5,39.38,Clear,Quadcopter,Urban,False,False,False,False,Basic,Low,3.23,Low
FL100612,10.09,71.2,30.4,39.0,9.8,1.51,91.3,1.5,37.6,51.7,Cloudy,Quadcopter,Rural,False,False,False,True,Expert,Medium,-4.74,Low
FL100842,3.94,100.0,29.6,16.7,16.7,4.44,83.0,3.1,47.0,55.24,Windy,Hexacopter,Suburban,False,True,False,True,Basic,Medium,-2.43,Low
FL100266,7.17,96.5,28.6,41.9,3.0,2.78,86.2,4.0,58.6,61.72,Cloudy,Quadcopter,Suburban,False,False,False,False,Advanced,High,-3.18,Low
FL100051,2.75,58.0,7.8,16.2,15.9,4.31,96.4,2.2,54.4,,Cloudy,Quadcopter,Rural,False,False,True,True,Expert,Medium,-0.02,Low
FL101195,3.27,55.8,25.1,73.8,31.7,1.2,120.7,3.1,56.8,40.32,Windy,Quadcopter,Urban,False,False,False,True,Advanced,High,48.61,High
FL101270,2.73,100.0,33.5,17.4,13.0,3.26,93.5,3.2,57.1,47.77,Clear,FixedWing,Rural,False,False,False,True,Basic,High,5.55,Low
FL101491,11.91,59.8,33.0,46.5,8.0,1.46,100.0,1.0,48.5,53.01,Windy,Quadcopter,Urban,False,False,False,True,Expert,Medium,2.58,Low
FL101582,3.05,90.8,30.8,64.9,4.9,3.8,87.9,0.4,39.8,55.24,Clear,Quadcopter,Rural,False,False,False,False,Basic,Low,3.51,Low
FL100521,2.7,87.7,24.0,70.6,24.2,0.66,90.5,0.6,37.5,57.62,Foggy,Hexacopter,Urban,True,True,False,False,Advanced,Low,1.18,Low
FL101694,0.6,67.2,33.7,41.3,3.5,2.24,102.3,0.6,21.8,55.04,Clear,Quadcopter,Suburban,True,False,False,True,Expert,Low,-2.19,Low
FL102663,6.52,77.6,29.5,63.6,15.1,3.16,95.4,7.1,92.3,62.95,Cloudy,Quadcopter,Suburban,False,False,False,False,Advanced,High,-1.67,Low
FL102748,7.91,70.4,22.7,41.0,25.8,1.98,94.9,0.6,69.9,52.43,Windy,Hexacopter,Suburban,True,False,False,False,Advanced,Medium,10.44,Medium
FL101921,6.05,85.9,47.2,68.9,9.4,1.95,49.5,2.8,48.8,45.15,Rainy,Hexacopter,Rural,True,True,False,False,Advanced,Medium,-4.18,Low
FL100102,2.99,92.2,23.8,62.3,30.3,2.36,126.1,3.1,19.1,57.13,Clear,Hexacopter,Urban,False,True,False,True,Basic,Low,-6.23,Low
FL100695,15.04,60.8,35.7,39.5,12.4,1.8,65.3,12.2,35.5,35.64,Rainy,Quadcopter,Suburban,False,True,False,False,Basic,Low,5.0,Low
FL102332,16.17,90.6,21.4,69.6,12.7,2.9,83.5,1.3,84.8,45.17,Clear,Hexacopter,Rural,False,False,False,True,Advanced,High,10.97,Medium
FL102724,2.43,66.3,14.4,87.4,5.6,1.38,128.9,0.8,70.9,44.32,Clear,Quadcopter,Urban,False,True,False,True,Advanced,High,0.71,Low
FL102272,0.3,71.7,19.4,62.2,2.8,2.71,36.7,2.0,16.8,35.95,Cloudy,FixedWing,Rural,False,False,False,True,Basic,Low,-4.1,Low
FL102482,1.18,66.7,28.2,59.8,14.0,4.82,108.8,0.5,41.5,34.41,Cloudy,Hexacopter,Rural,True,False,False,True,Advanced,Medium,-4.86,Low
FL101842,4.84,62.6,23.5,53.0,2.5,3.9,124.2,7.8,75.6,49.9,Rainy,Hexacopter,Urban,False,False,False,False,Advanced,High,-2.84,Low
FL101830,7.22,87.4,37.3,34.7,8.8,4.11,77.8,0.3,60.6,35.72,Cloudy,Hexacopter,Urban,False,False,False,False,Expert,High,-3.31,Low
FL100794,2.42,81.7,33.5,62.2,27.7,2.86,113.3,3.5,17.8,59.47,Cloudy,Quadcopter,Rural,False,False,False,False,Advanced,Low,8.68,Medium
FL101820,1.38,78.2,25.3,82.7,8.5,2.66,119.0,6.4,58.5,32.41,Rainy,Hexacopter,Urban,False,False,False,False,Basic,Medium,2.02,Low
FL102001,8.93,56.0,29.2,63.7,5.1,2.05,124.6,0.8,0.0,41.85,Rainy,FixedWing,Urban,False,False,False,True,Advanced,Low,-5.23,Low
FL100144,2.31,100.0,42.3,35.1,5.4,1.15,96.4,5.3,48.2,47.12,Clear,Hexacopter,Urban,False,False,False,True,Advanced,Medium,0.67,Low
FL102525,3.48,66.4,31.6,29.6,14.3,3.25,79.2,1.2,46.3,46.01,Clear,Quadcopter,Suburban,False,False,False,True,Basic,Low,2.07,Low
FL101330,6.61,98.6,22.7,72.1,3.0,1.12,75.8,4.7,39.6,41.3,Clear,Quadcopter,Rural,False,False,False,True,Expert,Low,-10.44,Low
FL102477,11.42,100.0,28.1,37.6,8.2,0.74,102.0,1.9,13.0,49.86,Clear,FixedWing,Urban,True,False,False,True,Expert,Low,-7.93,Low
FL102881,6.5,55.1,29.8,34.3,15.7,6.32,140.4,2.8,60.9,,Windy,Quadcopter,Urban,False,False,False,True,Expert,Medium,29.82,High
FL100321,5.18,65.3,30.3,29.9,13.2,3.5,115.8,9.0,49.5,45.26,Stormy,Quadcopter,Suburban,True,False,False,True,Advanced,Medium,-4.09,Low
FL101261,115.42,71.3,22.1,29.2,4.0,0.24,35.1,0.3,44.7,40.78,Foggy,Hexacopter,Restricted,False,False,False,True,Advanced,Medium,35.1,High
FL102414,5.79,82.6,28.6,52.6,4.0,3.11,80.6,4.9,52.0,50.29,Clear,Quadcopter,Urban,False,False,False,True,Advanced,Medium,-4.95,Low
FL101269,16.76,93.8,25.9,69.9,7.2,2.55,98.7,1.6,68.0,54.76,Stormy,Hexacopter,Urban,True,True,False,True,Expert,Medium,39.41,High
FL101760,4.88,82.0,19.3,59.6,8.4,2.24,87.7,0.1,69.0,32.81,Cloudy,Hexacopter,Urban,False,True,False,False,Basic,High,4.31,Low
FL100416,0.97,91.5,21.8,59.4,22.2,0.69,101.7,1.4,0.0,40.49,Cloudy,FixedWing,Suburban,False,False,False,True,Basic,Low,14.4,Medium
FL102631,4.25,100.0,33.2,40.3,11.0,2.7,82.1,3.0,53.4,45.02,Clear,Quadcopter,Urban,False,True,False,True,Advanced,Medium,-5.71,Low
FL102291,18.64,79.8,33.0,32.5,16.2,1.22,128.9,3.2,2.1,50.04,Rainy,Hexacopter,Urban,False,False,False,False,Basic,Low,22.69,High
FL100174,7.97,71.2,14.1,95.3,15.3,1.78,72.4,2.9,21.0,42.97,Windy,Quadcopter,Urban,False,False,False,True,Basic,Low,9.01,Medium
FL101725,1.88,74.6,29.3,46.8,5.9,1.32,38.3,2.5,33.2,57.89,Stormy,FixedWing,Urban,False,False,False,False,Basic,Low,14.72,Medium
FL102175,1.5,68.5,24.5,69.8,15.3,3.08,94.4,0.2,74.5,55.02,Foggy,Hexacopter,Restricted,False,True,False,False,Basic,High,75.35,High
FL100045,4.31,83.3,36.3,75.2,0.4,1.01,131.1,6.3,34.7,53.75,Cloudy,Quadcopter,Suburban,False,True,False,True,Basic,Medium,-4.49,Low
FL100685,11.23,78.0,31.1,84.2,11.0,1.95,88.8,4.8,39.1,40.3,Cloudy,FixedWing,Rural,False,False,False,True,Basic,Medium,5.34,Low
FL101607,2.22,52.7,27.8,50.8,12.7,3.9,87.0,0.4,17.6,46.73,Foggy,Quadcopter,Rural,False,False,False,True,Basic,Low,10.21,Medium
FL101231,7.04,70.9,26.1,34.5,9.6,1.53,48.3,0.9,30.9,21.22,Windy,Hexacopter,Urban,True,False,False,True,Advanced,Medium,6.04,Low
FL100862,1.63,89.9,23.9,37.4,31.9,1.81,67.3,0.4,48.2,47.01,Cloudy,Quadcopter,Suburban,False,False,False,False,Expert,Medium,-12.93,Low
FL101965,13.72,80.2,43.7,32.4,12.8,5.4,93.8,0.6,47.6,56.26,Windy,Hexacopter,Suburban,False,False,False,True,Advanced,Medium,38.91,High
FL100331,8.93,65.7,32.3,50.1,0.9,3.64,77.4,0.7,100.0,53.04,Cloudy,Quadcopter,Urban,False,False,False,True,Basic,High,25.14,High
FL100093,1.77,67.5,26.6,46.3,10.5,2.51,82.4,3.0,37.4,52.7,Clear,Quadcopter,Urban,False,False,False,True,Advanced,Medium,-1.0,Low
FL101641,4.24,91.5,18.7,75.1,17.2,1.43,94.0,8.1,36.0,53.67,Clear,Hexacopter,Suburban,True,False,False,True,Expert,Medium,-5.72,Low
FL102986,6.8,85.3,17.4,62.3,14.1,1.97,82.7,1.2,22.8,39.38,Rainy,Quadcopter,Urban,False,False,False,True,Expert,Low,-4.25,Low
FL100506,9.93,91.8,28.4,50.7,16.8,1.68,76.2,8.3,37.1,52.65,Windy,Quadcopter,Suburban,False,False,False,False,Expert,Medium,6.58,Low
FL102909,6.9,67.6,21.2,46.1,15.3,1.8,76.6,1.2,46.2,52.07,Cloudy,Hexacopter,Suburban,True,False,False,True,Basic,Medium,-3.87,Low
FL102045,3.57,68.5,32.3,76.4,23.2,0.55,61.5,0.2,34.3,56.32,Cloudy,Quadcopter,Urban,False,False,False,True,Basic,Low,7.71,Low
FL100495,1.7,56.2,6.4,69.6,6.3,0.73,148.0,1.7,61.5,47.7,Clear,FixedWing,Urban,False,False,False,True,Advanced,High,-5.48,Low
FL102132,4.24,67.0,24.9,39.8,3.5,1.15,136.6,0.3,41.5,60.93,Stormy,Hexacopter,Suburban,False,True,False,False,Expert,Medium,20.49,High
FL100000,7.41,76.6,32.3,59.2,2.7,1.99,114.6,1.7,45.9,42.4,Foggy,Hexacopter,Suburban,True,False,True,True,Basic,Low,15.23,Medium
FL100314,7.23,53.7,36.0,68.7,19.3,2.72,58.7,0.3,47.2,54.33,Cloudy,FixedWing,Urban,True,False,False,True,Basic,Medium,9.36,Medium
FL101272,8.27,75.1,37.0,48.4,7.2,2.55,85.6,0.6,43.2,47.53,Windy,Quadcopter,Suburban,True,False,False,False,Basic,Medium,4.51,Low
FL101941,1.86,54.9,27.5,64.2,8.4,2.3,99.4,0.8,44.7,40.18,Cloudy,Quadcopter,Urban,True,False,False,True,Basic,High,2.73,Low
FL102967,11.83,44.4,18.7,88.1,9.8,3.34,95.8,0.4,20.7,39.93,Rainy,Hexacopter,Suburban,False,False,False,True,Advanced,Medium,2.08,Low
FL101316,2.71,100.0,23.3,33.5,22.7,0.68,104.7,4.3,22.1,49.76,Rainy,Hexacopter,Rural,False,False,False,False,Advanced,Low,1.4,Low
FL100755,6.94,94.2,30.9,68.0,15.8,1.95,80.2,4.9,18.3,51.14,Clear,Quadcopter,Suburban,False,False,False,False,Expert,Low,-10.86,Low
FL101770,14.28,71.2,35.1,25.2,17.9,2.86,82.1,2.2,27.5,64.53,Cloudy,Quadcopter,Suburban,False,False,False,True,Expert,Low,-0.69,Low
FL101200,5.9,87.8,44.8,27.9,5.3,3.21,72.1,6.4,57.1,50.49,Foggy,Hexacopter,Suburban,True,True,False,False,Advanced,Medium,6.13,Low
FL102174,10.68,94.6,25.5,67.2,10.0,0.53,70.8,,39.4,42.26,Clear,FixedWing,Urban,True,True,False,True,Advanced,Medium,3.17,Low
FL101991,9.51,52.6,36.8,55.3,14.3,1.66,127.4,0.5,62.8,55.56,Rainy,Quadcopter,Suburban,False,True,False,False,Advanced,Medium,5.24,Low
FL100879,10.46,56.1,24.6,,16.0,0.84,125.2,8.5,12.6,51.48,Rainy,FixedWing,Urban,False,False,False,False,Basic,Low,2.41,Low
FL100765,10.45,61.4,30.3,29.5,8.5,2.81,112.5,7.6,42.0,48.67,Windy,Hexacopter,Suburban,False,True,True,True,Basic,Medium,16.74,Medium
FL100927,9.46,89.4,25.9,60.9,3.9,1.71,92.4,0.5,49.9,52.02,Cloudy,Quadcopter,Urban,True,False,False,False,Basic,High,6.42,Low
FL102377,6.89,85.5,25.1,57.5,6.7,2.29,63.3,7.2,4.7,48.23,Foggy,Hexacopter,Suburban,True,False,False,False,Advanced,Low,12.42,Medium
FL101374,5.29,57.9,33.3,55.7,2.8,2.16,124.4,1.2,26.6,45.19,Stormy,Quadcopter,Rural,False,True,False,True,Expert,Low,7.29,Low
FL101814,9.7,95.9,9.5,93.0,17.8,1.55,64.6,0.3,34.6,52.93,Rainy,Quadcopter,Urban,False,False,False,True,Basic,Low,14.97,Medium
FL101798,3.63,85.0,37.5,62.3,23.2,1.69,127.5,0.3,26.8,57.08,Clear,FixedWing,Rural,True,False,False,False,Basic,Medium,-3.42,Low
FL100929,3.84,89.5,25.4,63.5,13.9,4.39,105.9,2.5,45.5,53.98,Clear,FixedWing,Suburban,False,True,False,False,Advanced,Medium,-1.2,Low
FL100436,1.82,79.9,25.6,34.6,14.9,1.84,86.7,10.3,47.4,51.13,Clear,Quadcopter,Suburban,True,False,False,False,Advanced,Medium,-4.15,Low
FL100196,6.21,77.9,17.6,46.9,22.2,1.0,131.1,6.8,20.5,51.38,Clear,Quadcopter,Urban,True,False,False,True,Advanced,Low,-9.32,Low
FL101762,3.23,75.2,40.4,50.2,16.1,0.46,81.6,6.7,50.8,51.2,Rainy,Hexacopter,Restricted,False,False,False,True,Advanced,Medium,-3.88,Low
FL101064,2.73,91.0,24.5,27.7,15.3,2.58,87.1,8.9,76.2,52.93,Clear,Hexacopter,Urban,False,True,True,False,Basic,High,20.35,High
FL102342,10.15,91.1,20.4,63.5,18.4,3.86,75.2,3.0,41.5,47.76,Clear,FixedWing,Urban,False,False,False,False,Advanced,Medium,-3.54,Low
FL102528,13.19,79.4,23.1,57.7,8.5,0.8,99.2,3.9,23.3,59.21,Windy,Quadcopter,Urban,False,False,False,True,Basic,Low,5.54,Low
FL101268,6.18,68.9,26.5,61.7,23.1,1.51,107.1,1.3,31.9,69.75,Stormy,Quadcopter,Suburban,False,True,False,True,Expert,Medium,8.1,Medium
FL102323,3.42,69.2,29.8,62.4,6.8,0.87,92.1,4.1,62.5,60.08,Clear,Quadcopter,Rural,False,False,False,False,Advanced,High,-2.11,Low
FL102779,1.41,72.8,32.5,,9.1,3.51,112.1,14.1,54.2,53.14,Foggy,Quadcopter,Urban,False,False,False,False,Basic,Medium,2.75,Low
FL102225,8.51,71.8,11.7,63.2,5.1,2.0,100.6,0.4,39.5,58.6,Windy,Hexacopter,Rural,False,False,False,True,Advanced,Medium,3.83,Low
FL100450,3.48,88.7,34.2,46.6,45.5,0.52,96.4,2.4,21.1,59.58,Cloudy,Quadcopter,Suburban,False,False,False,True,Expert,Low,1.74,Low
FL102164,2.51,76.1,26.8,42.9,2.9,1.23,107.9,1.8,51.1,53.91,Clear,Hexacopter,Suburban,False,False,False,True,Expert,High,-12.2,Low
FL102372,6.79,74.6,24.1,33.6,2.3,1.18,149.6,4.5,18.9,43.41,Clear,Quadcopter,Urban,False,True,False,True,Expert,Low,-4.04,Low
FL102012,8.84,86.1,35.3,28.1,1.1,4.03,94.0,3.0,25.8,40.29,Clear,FixedWing,Suburban,False,False,False,False,Advanced,Low,-8.56,Low
FL100270,3.91,69.8,23.5,43.2,3.8,0.89,114.8,1.3,55.0,48.83,Clear,Quadcopter,Rural,True,False,False,True,Advanced,High,-10.29,Low
FL101840,110.74,61.5,30.6,60.8,25.4,0.77,109.3,2.3,33.7,50.21,Clear,Hexacopter,Urban,True,False,False,False,Expert,Medium,-9.76,Low
FL102934,12.42,85.6,33.5,69.6,1.4,3.77,107.7,8.1,61.6,37.59,Cloudy,Quadcopter,Suburban,False,False,False,False,Basic,Medium,0.32,Low
FL100978,16.88,79.1,38.0,51.4,20.2,1.18,85.8,1.3,29.4,55.65,Rainy,Hexacopter,Urban,False,False,False,False,Expert,Low,12.9,Medium
FL102166,4.22,100.0,33.4,69.6,13.8,1.81,107.2,0.5,45.3,63.07,Stormy,Quadcopter,Urban,False,False,False,True,Basic,Medium,16.78,Medium
FL100354,12.28,68.1,36.0,38.3,18.4,1.25,70.4,0.5,37.2,59.41,Clear,Quadcopter,Restricted,False,True,False,False,Basic,Low,58.74,High
FL101876,2.82,58.2,24.2,54.0,20.0,0.32,125.8,1.1,47.9,46.94,Clear,Hexacopter,Urban,False,True,False,True,Basic,Medium,-10.94,Low
FL100184,15.07,77.1,25.3,49.9,6.4,0.54,69.5,3.0,47.0,61.76,Clear,Hexacopter,Suburban,True,False,False,False,Basic,High,0.59,Low
FL102744,2.36,99.1,23.7,61.2,5.2,3.88,99.2,9.8,38.6,48.04,Windy,Hexacopter,Rural,True,False,False,False,Basic,Medium,4.84,Low
FL101614,11.27,92.4,29.1,46.8,16.2,1.61,78.3,0.2,57.5,59.66,Cloudy,Quadcopter,Urban,True,False,False,True,Advanced,Medium,-6.62,Low
FL102759,5.79,80.0,39.2,44.0,7.7,0.45,76.8,3.3,44.5,33.0,Clear,Quadcopter,Urban,True,True,False,True,Basic,Medium,-6.36,Low
FL101706,3.55,74.7,30.5,88.5,3.2,2.06,99.7,0.3,9.2,41.08,Clear,FixedWing,Suburban,True,False,False,True,Basic,Low,3.59,Low
FL101861,10.84,90.8,41.4,65.4,22.3,1.22,131.0,0.1,27.3,43.66,Rainy,Hexacopter,Rural,False,False,False,True,Advanced,Medium,-1.18,Low
